Puan	Yorum
1.0	Ürünü hepsiburada dan aldım. Aynı gün teslimat seceneği ile 6saate aldım. Ürün oldukça kaliteli ve hızlı. 128 gb hafızası zaten efsane. Pil durumu yeterli. Oyun oynamazsanız normal rutin kullanımda 2 gunu cıkarır. Kamera yeterli ancak muhteşem degil özellikle gece cekımınde vasat kalıyor. Onun dısında arayuzu muhteşem parmak izi ve yuz tanıma super otesı. Malzeme kalitesi Iphone u aratmaz. FİYAT performans oranı çok tatmin edici. Kaçırılmaz.
1.0	15 gündür kullanıyorum. An itibariyle memnunum. Tek sorun ekran koruması bulunmuyor piyasada
1.0	Öncelikle paketleme berbat karton darmadağın olmuştu allahtan cihaz kutusunda problem yoktu teslim aldım. Ve cihazın jelatini yoktu.Hepsiburadaya pekte yakışmadı bu teslimat.Cihaza gelirsek uzun süre araştırdıktan sonra aldığım ve mavi rengini çok beendiğim bir cihaz. 
0.0	1- 2 sene sonra batarya ölür pişman olanlar var.hepsiburadaya lafım yok
1.0	İki Aydan beri kullanıyorum dağa iyisi mutLaka çıkacak şu anBir numara
0.0	3ayda tus takımı bozuldu ve şarj bitip kapanırsa bidaha kaç saate açılır belli olmuyor en erken 8saat sonra açılıyor
1.0	Ürün bir buçuk günde elime geçti, kargoda hiç sorun yaşamadım. Telefona gelirsek kesinlikle doğru tercih yaptığımı düşünüyorum. Çok rahat, konforlu bir kullanımı var. Ses kalitesi çok iyi. Şarja gelirsek, bir kaç video ve yüzü aşkın fotoğraf çektiğim, 15 dk kadar telefon görüşmesi yaptığım ve sürekli 3G açık olduğu gün, geceden şarj ettiğim telefonum beni akşam saatlerine kadar idare etti. Daha önce biraz eski bir Samsung modelinde android kullandım, geceden şara koymazsam sadece interneti açık olmasına, fotoğraf ya da video çekmeme rağmen öğlene kadar anca gidiyordu. Lüks olduğu kesin ama uzun süre kullanılacağı düşünülürse telefonun hakkını verdiğini düşünüyorum. 
0.0	Ekranı kasası anakartı kamerasına kadar herşeyi değişmis cihazlar tavsiye etmiyorum iade edene kadar 10 gün gecti
1.0	İphoneden geçen biri olarak iyiki geçmişim diyorum. Herşeyiyle mükemmel. Şarj kamera ekran optimizasyon süper.. İyiki aldığım dediğim şeylerden bir tanesı de bu olduç
1.0	Pil ömrü çok iyi 
1.0	Hızlı kargo. Elime 1 günde ulaştı. telefon hızlı görüntüsü güzel. Ben resim çekim kalitesini de iyi buldum. sadece pil performansı bekledigim gibi değil. belki yeni diyedir. performası artar diye tahmin ediyorum. gün boyunca normal şekilde kullandım aksama bitti. yüklesem belki daha erken de bitebilirdi. pil konusunun takipçisi olacağım. başka elestirim yok şimdilik.
0.0	Öncelikle bu yorumu yayınlamanızı istiyorum. Zira daha önce de başka ürünlerde tenkitim oldu ve yayınlamadınız. Budurum sitenizin taraflı olduğu izlenimini bana vermeye başladı.Bu ise hoş bir durum değil. Vestel Z10 için yorumum;&quot;Mart 2018'de telefonu hepsiburada sitesinden aldım. Genel olarak memnundum. Ancak 1 ay sonra koruyucu kılıfı da varken 50 cm den düştü. Arka kamera odaklayamamaya başladı yani bozuldu. Servise gönderdim çok hızlı bir şekilde garantiden tamir ettiler. Bu noktada servisin hızı beni, memnun etti. Sonra 18 Haziran 2018 de suyla kısa bir süre temas etti. Telefonu hemen kapatıp kuruladım. Arka kapak normal yolla açılamadığı ve özel tornavida takımı gerektiğinden pili çıkarma şansım olmadı. Dolayısıyla pil çıkarılmadığı için ne olur ne olmaz diye kurulayıp 1 hafta bekledim. 1 hafta sonra telefonu şarja koydum. Sonuç malesef telefondan ses yok, ve açılmıyor. Hemen servise verdim. Servis bana sıvı teması sizin hatanız diye 560 TL masraf çıkarttı. Muhtemelen ana kart arızası. Garantisi olan bir telefon için Vestel keşke yerliyi teşvik için anakarta maliyetine bir fiyat isteseydi. Veya bu fiyatı istiyorsa fiyatı öde size sıfırı gönderelim deseydi. Malesef istediği fiyat telefonun yarı fiyatından biraz fazla ve sonrasında da başka sıkıntılar vermiyeceği mechul. Bu yüzden yaptırmamaya karar verdim. Yorumlarda bu tarz benzer yorum ve şikayetler görmüştüm, yerliyi desteklemek adına yorumları dikkate almamıştım. Bu yorumu da bu telefonu alacaklara faydalı olması için yazıyorum.&quot;
0.0	urun hızlı bir şekilde elime ulaştı şuan için kullandigim üründen pek memnun kalmadım. kargo kutusunun içindeki telefon kutusunun neden açılmış olduğuna bir anlam veremedim. urun genel olarak iyi telefon kutusunun açık olması kafa karıştırıcı. ayrıca telefonun 4000 mah gücünde pili olduğu yazıyordu özelliklerde ama 1 gün bile gitmiyor bataryası. Telefon kutusunun da açık olduğundan dolayı kendimi kaziklanmis gibi hissediyorum...
1.0	baya iyii öneririmben çok beğendim 64gb rom 6gb ram
1.0	Arkadaşlar burada tasarım performans konuları hakkında yazan olumlu yorumların hepsine katılıyorum. Ancak bir müziksever olarak ses kalitesi açısından büyük bir hayalkırıklığına uğradım. Telefonun hoparlörünü zaten geçtim, standardı dahi yakalayamayan ses kalitesizliği kulaklıktan dinleme yaparken bile fark ediliyor cızırtı, yetersiz bas, boğukluk. Üstelik 2 hafta öncesinde Vestel Desibel K550 kulaklık almıştım, üründen memnun kaldığım için bir hevesle telefonum da Vestel olsun istedim ama sonuç hüsran oldu. Bunun dışında telefonunuzu müzik dinleme amaçlı kullanmıyorsanız kesinlikle tavsiye ederim, keşke ses konusunda en azından standardı koruyabilselerdi. 
0.0	2 ay önce hepsiburada dan aldım. 1 ay sonra cebe koyulduğundan dolayı telefon yamuldu. Ekran gitti. Servis garanti kapsamı dışına çıktığından tamir etmedi. Kısacası bu telefonu almayın. Çok kalitesiz ve yamulmalardan ötürü birçok kişinin şikayeti var. İsterseniz arattırın ve görün.
0.0	Arkadaşlar kötü yorumlara aldırmayın. Yaklaşık 1 yıldır kullanıyorum telefonu. Hiç bir şeyinden şikayetçi değilim. Oyunlarda donma falan yok sallıyorlar. Çok yoğun bir şekilde pubg oynuyorum ve hiç bir sıkıntı yaşamadım daha, diğer oyunlarda da aynı şekilde. Bir tek hayalet ekran sorunu oldu garantiye götürdüm.  huawei mağzası Vaktiniz varsa 1 saat bekleyin ekranı hemen değiştiripverelim dediler. Bekledim 45 dk ya hallettiler telefonu, aldım. Ve birdaha tekrarlarsa aynı sorun telefonu iade edebilirsiniz dediler. Telefon canavar arkadaşlar gözünüz kapalı alın derim. Kirin 970 efsane bi işlemci zaten. Kamerası doyurucu. Seside az değil bence. Yüz tanıma, parmak izi okuma ultra hızlı. Alacaklara hayırlı olsun.
1.0	Fiyat kalite orantısı muhteşem..Daha öncede LG3 kullanmıştım.
0.0	samsung marka kullanacaksanızS yada Not serisi derim diğer samsung serileri bunlara gore çok vasat ve pişman ediyoralmışken biraz fazla verin bu modellere bakın derim benim gibi pişman olmayın...
1.0	Kargo cok hizliydi. Tam bir F/P urunu. 4 gunde bir sarj ediyorum yetiyor. Tesekkuler Hepsiburada
1.0	1 senedir kullanıyorum hiç bir sorun yaşamadım gerçekten işe yarar ve güzel bir telefon
1.0	çok şık donanım olarak yeterli fiyatıda iyi olursa başarılı olur.
1.0	Çok güzel bir telefonçift hat ve çift WhatsApp kullanma imkanı sunması benim gibiiş ve şahsi hat kullananlar için çok rahat oluyor ikincil alan gibi çok güzel özelliklere sahip performansında şu anlık bir sıkıntı yok garanti kısmında inşallah sorun yaşamazsak çok güzel bir telefon.
